Modelo,Configuração,Box-Cox,RMSE,MAE,MAPE (%),R²,AIC,BIC
SARIMAX Original,"(2, 1, 2)x(0, 0, 0, 0)",Sim,1.128034833143286,1.0005141613208888,269.0621402926712,-0.4409115795640759,2970.277625071643,3001.7428707704853
SARIMAX Melhorado,"(3, 0, 3)x(0, 0, 0, 0)",Não,0.9688751169487172,0.8813799242024543,103.8880078115606,-0.24161873936131473,2919.94800704981,2963.999351028189
