Modelo,MSE_train,MAPE_train,MSE_val,MAPE_val,MSE_test,MAPE_test
ARIMA,47957.296113203774,63.91040942000483,11057.835821459566,44.8364965027737,175078.45267785882,27.590372979159472
KNN,0.0,0.0,45881.272348728846,36.470158037344056,584605.259977734,33.33930856336727
"VGG1D(w=12, f=64, d=0.0)",45192.66796875,31.295391082763672,10469.2900390625,28.870141983032227,142786.640625,25.532596588134766
HÍBRIDO-RESIDUAL,,,,,187221.4311460763,36.76941401720996
HÍBRIDO-ENSEMBLE,,,,,120606.23230979955,22.146850727051476
