Modelo,MSE_train,MAPE_train,MSE_val,MAPE_val,MSE_test,MAPE_test
ARIMA,0.31988605142406906,26.64233352042477,0.0864717820770579,10.006973491577302,0.16136407848631676,15.700610057053584
KNN,0.0,0.0,0.09895817119542048,11.622339334010276,0.19173460281411428,17.793001544926117
"VGG1D(w=12, f=32, d=0.0)",0.18941630423069,18.820571899414062,0.07189182937145233,11.191556930541992,0.1414298564195633,20.15384292602539
HÍBRIDO-RESIDUAL,,,,,0.18818936467343658,23.567834164026717
HÍBRIDO-ENSEMBLE,,,,,0.13779829883124795,18.698425923430438
